State,Arkansas ,Alabama,Alaska,Arizona,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Recent/proposed changes,The Arkansas Youth Hiring Act was signed by Governor Huckabee Sanders in March 2023. It withdraws the requirement for work permits for minors.,,,,,,,,,,In 2023 a bill was introduced to withdraw the requirement for work permits and age certificates in Georgia. The bill was withdrawn.,,,,"In 2021, Indiana ended the requirement for work permits for minors and replaced it with an employer registration system for any employer hiring 5 or more minors.","Amendments to Iowa's child labor laws were signed by Governor Reynolds in May 2023. Children can now work in some hazardous occupations from the age of 14, and 14-15 year olds can work 6 hours per day during the school week (among other changes). Children under 14 are now prohibited from doing any type of work.",,,,"In early 2023 two amendments on the employment of minors were introduced: a subminimum wage for minors, and an increase in hours worked per week by a minor who is home-schooled.",,,In 2022 Michigan passed laws to enable minors to sell and serve alcohol.,"In Minnesota two bills are in progress: one will lower the minimum age for hazardous work (construction and building sites) to 16, the other will allow 14-15 year olds to start work at 6.30 AM, and end work at 11 PM during vacations and Fri-Sat when school is in session.",,"In Missouri two bills are in progress: one will withdraw the requirement for work permits, and the other will add a 10 PM curfew for 16-17 year olds Sun-Thurs when school is in session.",,"At present, minors receive the Nebraskan minimum wage ($10.50 in 2023 rising to $15 by 2026). In January 2023, a bill was introduced to create a subminimum wage for minors of $9 in 2023, rising to $10 by 2026.",,"In 2022 New Hampshire enacted new laws which increased the hours 16-17 year olds who are full-time students can work when school is in session from 30 to 35; it also reduced the age at which a minor can bus tables where alcohol is served and restock alcohol products to 14, with adult supervision.","In 2022, Governor Murphy signed amendments to New Jersey's child labor laws. 16-17 year olds can now work 50 hours per week all year instead of 40, and 14-15 year olds can work 8 hours a day and 40 hours per week in vacations. Parental and school authority was also withdrawn from the work permit process.",,,,,"In May 2023, the Ohio Senate passed a bill to allow 14-15 year olds to work up to 9 PM on school nights. Governor DeWine has yet to sign the bill into law.",,,,,,"In 2023, a bill was introduced in South Dakota to allow children under the age of 14 to work up to 9 PM throughout the year. This was withdrawn. Children under the age of 14 can currently work until 7 PM.","In 2023, Tennessee changed its child labor laws to allow 16-17 year olds to work in venues where more than 25% of revenue comes from alcohol.",,,,In 2023 a bill was introduced in Virginia to create a subminimum wage for minors. The bill failed in the House.,,,"In 2022, Governor Evers vetoed a bill which would have allowed 14-15 year olds to start work at 6 AM and end at 9.30 PM Sun-Thurs, and end at 11 PM during vacations and on Fri-Sat, on the condition that the employer did not fall under the FLSA. In 2023, a bill was introduced to allow 14 year olds to carry alcohol to customers in bars/restaurants.",
Minimum working age (14),Consistent,Consistent,Worse,Consistent,Worse,Worse,Consistent ,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Better,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse,Consistent
,14,14,No minimum age: minors under 14 years can work casing cans in canneries under supervision.,14,12,9,14,14,14,14,12,14,14,14,14,14 with no exemptions,14,14,14,14,14,14,14,14,14,14,14,14,14,12,14,14,14,14,14,14,14,12,14,14,14,No miminum age (with limitations on type and lateness of work for children under 14),,14,12,14,14,14,14,12,14
Minimum hazardous work age (18),Worse,Consistent,Consistent,Worse,Consistent,Worse,Worse,Worse,Worse,Worse,Worse ,Consistent,Consistent,Worse,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Worse,Worse,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse ,Consistent ,Consistent,Worse,Consistent ,Worse,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent
,16,18,18,16 year olds are permitted to drive; 16-17 year olds can undertake hazardous work if employed by a family member,18,14,16,16,16 year olds can work with and clean power-driven machinery ,16 year olds are permitted to drive,16,18,18,16,18,14,18,18,18,18,16,18,18,18,18,16,18,18,16,16,18,16,18,18,18,18,16,18,18,16,18,16,18,16 year olds can drive,18,18,18,18,18,16,18
Working hours when school is in session (14-15 year olds),Worse,Consistent,Worse,Worse,Consistent,Worse,Worse,Worse,Worse,Better and worse,Worse,Consistent,Consistent,Worse,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Worse,Worse,Worse,Worse,Consistent,Worse,Worse,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Worse,Worse,Worse,Worse,Consistent,Consistent,Better,Worse,Worse,Consistent
Max. hours per school day (3),8 hours,,9 hours which should include school and work per day,,,"Sun-Thurs: 6 hours, Fri-Sat: 8 hours",8 hours ,4 hours,8 hours,,4 hours,,,,,6 hours,,,,,4 hours,,10 hours ,8 hours,"8 hours if enrolled in school and the work is in a mill, cannery, workshop, factory, or manufacturing establishment",,,8 hours,8 hours,,,,,,,,,,,8 hours,,4 hours,,8 hours,8 hours,,,,,4 hours,
Max. hours per week (18),48 hours,,23 hours,,,40 hours,40 hours ,,48 hours ,15 hours,40 hours,,,24 hours,,28 hours,,,,,23 hours,,48 hours if the 14-15 year old is not in school,40 hours,"44 hours if enrolled in school and the work is in a mill, cannery, workshop, factory, or manufacturing establishment",40 hours per week,,48 hours,48 hours,23 hours,,,,,,,,,,40 hours,,20 hours,,48 hours,40 hours,,,16 hours,,24 hours if school is in session for fewer than 5 days,
Working time (start at 7 AM end at 7 PM),"Start at 6 AM
Fri-Sat: start at 6 AM and end at 9 PM",,Start at 5 AM and end at 9 PM,"Start at 6 AM and end at 9:30 PM
Fri-Sat: start at 6 AM and end at 11 PM",,"Start at 5 AM
and end at 9:30 PM
Fri-Sat: can end after 9.30 PM",,,,Fri-Sat: can work later than 7pm,Start at 6 AM and end at 9 PM,,,,,End at 9 PM,,,,,End at 8 PM,,End at 9 PM,End at 9 PM ,"Start 6 AM if enrolled in school and the work is in a mill, cannery, workshop, factory, or manufacturing establishment",End at 9 PM ,,Start at 6 AM and end at 10 PM,,End at 9 PM,,,,,,,,,,Start at 6:00 AM ,,"End at 10 PM
Fri-Sat: can work later than 10 PM","Fri-Sat: end at 9 PM
Sat-Sun: start at 6 PM","Start at 5 AM and end at 10 PM
Fri-Sat: end at midnight","Start at 5 AM and end at 9.30 PM
Fri-Sat: can end after 9.30 PM
Sat-Sun: can start before 5 AM",,,,,,
Working hours June 1st - Labor Day Weekend (14-15 year olds),Worse,Consistent,Worse,Worse,Consistent,Worse,Consistent ,Consistent,Worse,Consistent,Worse,Worse,Consistent,Worse,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Worse,Consistent ,Consistent ,Worse,Worse,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Worse,Worse,Worse,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent
Max. hours per day (8),,,,,,,,,,,,,,,,,,,,,,,10 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. hours per week (40),48 hours,,,,,,,,48 hours,,,,,48 hours,,,,,,,,,48 hours,,"44 hours if enrolled in school and the work is in a mill, cannery, workshop, factory, or manufacturing establishment",,,48 hours,48 hours,48 hours,,,,,,,,,,,,,,48 hours,,,,,,,
Working time (start at 7 AM end at 9 PM),Start at 6 AM,,Start at 5 AM,Start at 6 AM and end at 11 PM,,Start at 5 AM and can work after 9.30 PM,,,,,Start at 6 AM,Start at 6 AM,,,,End at 11 PM,,,,,,,,,"Start 6 AM if enrolled in school and the work is in a mill, cannery, workshop, factory, or manufacturing establishment",,,Start at 6 AM and end at 10 PM,,,,,,,,,,,,Start at 6:00 AM ,,Can work later than 10 PM,Start at 6 AM,Start at 5 AM and end at midnight,Can start before 5 AM and end after 9.30 PM,,,,,,
Do they get breaks?,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No
Limit no. days/week a minor can work?,6 days (all minors),6 days ,6 days (all minors),No,No,No,6 days ,6 days ,6 days ,6 days (all minors),No,6 days ,No,6 days (when school is in session),6 days (all minors),No,No,No,6 days ,6 days (all minors),No,6 days,6 days (all minors),No,No,6 days ,No,No,No,6 days,6 days ,No,6 days,No,No,No,6 days ,6 days ,6 days (all minors),No,No,No,6 days,No,No,6 days ,No,6 days ,No,6 days ,No
Proof of age required?,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,"Yes if the work is in a mill, cannery, workshop, factory, or manufacturing establishment",Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes*,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Work permit required?,No,Yes,Yes,No,Yes,No,Yes,Yes (all minors),Yes,No,Yes,Yes,No,Yes,No,Yes,Yes (only for children not in school),No,Yes (all minors),Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes (for children not in school),Yes,Yes (all minors),Yes,Yes,No
Hours regulated for 16-17 year olds?,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes (24 hours per week if in school when school is in session; start at 6 AM and end at 10.30 PM Sun-Thurs when school is in session; end at 11.30 PM Fri-Sat when school is in session; end 11.30pm during vacations) ,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No